text_id,text,hate,moh_text
hasoc_en_4939,A gangster sets out to fulfill his father’s dream of becoming a doctor.    Doctor's in WestBengal be like munna_bhai_MBBS    DoctorsFightBack DoctorsStrike DoctorsUnderOppression,1,A gangster sets out to fulfill his fathers dream of becoming a doctor Doctors in इटरनल be like munna_bhai_MBBS DoctorsFightBack DoctorsStrike DoctorsUnderOppression
hasoc_en_177,"That’s not white supremacy though is it. That means whites thinking AND ACTING as though they are superior to others. What these Jew/Muslim joint actions are concerned with is protecting stuff like Halal/Kosher, circumcision and the right to wear religious garb. 1/2",1,हैट not white supremacy though is it That means whites thinking AND ACTING as though they are superior to others What these JewMuslim joint actions are concerned with is protecting stuff like HalalKosher circumcision and the right to wear religious garb 12
hasoc_en_1061,"Sit his ass down!  Tape his fingers and duct-tape his mouth.  Then throw him in a cage with the immigrants.  Problem solved!  Such a vision.  America, Free of Trump.  Darn, I just woke up.  Dems will do nothing.  FuckTrump FuckGOP FuckCivility ImpeachmentInquiryNow",1,Sit his ass down Tape his fingers and दत्ता his mouth Then throw him in a cage with the immigrants Problem solved Such a vision America Free of Trump Darn I just woke up ईएमएस will do nothing FuckTrump FuckGOP FuckCivility ImpeachmentInquiryNow
hasoc_en_663,“It is absolutely right that the government does all it can to support our Armed Forces from the day they enlist and for the rest of their lives. Veterans have given so much to the UK and it would be a dereliction of duty not to harness their potential.' – PM,0,It is absolutely right that the government does all it can to support our Armed Forces from the day they enlist and for the rest of their lives Veterans have given so much to the UK and it would be a dereliction of duty not to harness their potential PM
hasoc_en_1858,Timewear Analogue White Round Dial Leather Strap Watches  @ Rs.299        DoctorsFightBack SaveBengal amazon flipkart deals dealoftheday amazingdeals offers discount JaiShreeRam ModiForAll,0,मेवार Analogue White Round Dial Leather Strap Watches Rs299 DoctorsFightBack रवीना amazon फ्लिपकार्ट deals dealoftheday अमेजिंग offers discount JaiShreeRam ModiForAll
hasoc_en_436,AC room me baithke keise pata chalta hei. Did he write to Mamata Banerjee for protesting against  lynching of doctors in west Bengal ?,0,AC room me बैठके किसे पाटा चलता हें Did he write to ममता बैनर्जी for protesting against lynching of doctors in west Bengal
hasoc_en_5485,Congress abusive language towards PM Modi in Parliament is unacceptable.. Punish the MP\nGandiNaaliAbuse,1,Congress abusive language towards PM गोदी in Parliament is unacceptable Punish the MPnGandiNaaliAbuse
hasoc_en_562,"Since  is the BIGGEST deadbeat fraud, what he calls a fraud is what the rest of humanity not kiSsing his rectum calls TheTRUTH. And we ALL know Trump CAN'T HANDLE THE TRUTH! FuckTrump ComradeTrump PutinsPuppet CadetBoneSpurs MakingAmericaGarbageAgain MAGA",1,Since is the BIGGEST deadbeat fraud what he calls a fraud is what the rest of humanity not किसीने his rectum calls TheTRUTH And we ALL know Trump CANT HANDLE THE TRUTH FuckTrump ComradeTrump PutinsPuppet CadetBoneSpurs MakingAmericaGarbageAgain MAGA
hasoc_en_1595,ShameOnICC  Even local cricket tournament have better management &amp; planning than your's .   Thankyou for spoiling the worldcup.,1,ShameOnICC Even local cricket tournament have better management amp planning than yours हान्यू for spoiling the वर्ल्र्ड
hasoc_en_514,we proud of our muslimsociety who never favour any rapist or criminal or traitor...  trueindiamuslim  AligarhMurderCase,0,we proud of our muslimsociety who never फेवर any rapist or criminal or traitor trueindiamuslim AligarhMurderCase
hasoc_en_66,Gee... where have we seen this before? fucktrump ImpeachDonaldTrumpNOW Leaked docs reveal Russian effort to exert influence in Africa,0,Gee where have we seen this before ट्रम्प ImpeachDonaldTrumpNOW Leaked docs reveal Russian effort to exert influence in Africa
hasoc_en_2926,Congress should not forget that Modi is the Pm of India and he Definitely deserves respect. Congress should immediately apologize for this low standard comment.Congress GandiNaaliAbuse GandiNaaliInsult BJP,1,Congress should not forget that गोदी is the Pm of India and he Definitely deserves respect Congress should immediately apologize for this low standard commentCongress GandiNaaliAbuse GandiNaaliInsult BJP
hasoc_en_2502,Yeah he is 😂 FuckTrump,0,Yeah he is FuckTrump
hasoc_en_268,BECAUSE THE USA GOT INVOLVED IN EL SALVADOR NOT 'MUSLIM COUNTRIES',1,BECAUSE THE USA GOT INVOLVED IN EL SALVADOR NOT MUSLIM COUNTRIES
hasoc_en_4026,😂😂🤙🏽🤙🏽😰😰 Buy a fucktrump hat today. I took the price down &amp; freeshipping CLICK on LINK in my bio. Or PRE-Order a chingatrump hat ! 🤙🏽🤟🏾👊🏽💪🏾 peaceout forthewin imissobama dumptrump resist impeach etsy…,1,Buy a ट्रम्प hat today I took the price down amp शिपिंग CLICK on LINK in my bio Or PREOrder a चिंगम hat पीस फोरेन imissobama ट्रम्प resist impeach लेट्स
hasoc_en_2391,Be Quiet or the racist scarecrow with the orange face will get you!!  fucktrump FUCKTHEGOP ImpeachTrumpNow,1,Be Quiet or the racist scarecrow with the orange face will get you ट्रम्प FUCKTHEGOP ImpeachTrumpNow
hasoc_en_1230,Pakistani players offered Namaz many times on ground then never get objection from ICC..  But MS Dhoni can't wear army insignia Gloves ??   DhoniKeepsTheGlove,0,Pakistani players offered नमाज़ many times on ground then never get objection from ICC But MS होनी cant wear army insignia Gloves DhoniKeepsTheGlove
hasoc_en_4186,"Dear SanjayJha, ur tweet is reflecting ur frustration towards the success of BJP Modi ModiGovt. Rather than saying 'BullShit', better u concentrate on coming Elections, hope ur party wil get reverse of 52 in LokSabhaElections2024. CongressMuktBharat ModiFor2024",1,Dear संजय उर tweet is reflecting उर frustration towards the success of BJP गोदी ModiGovt Rather than saying उल्लिखित better u concentrate on coming Elections hope उर party विल get reverse of 52 in LokSabhaElections2024 CongressMuktBharat ModiFor2024
hasoc_en_3821,".: Thousands of spectators who have flocked to England from various parts of the globe have been severe disappointment. At this rate, is it even a fair game anymore? ICCWorldCup ShameOnICC",0,Thousands of spectators who have flocked to England from various parts of the globe have been severe disappointment At this rate is it even a fair game anymore ICCWorldCup ShameOnICC
hasoc_en_445,We know who’s power hungry. We haven’t forgotten what this vile woman did to PVNarasimhaRao and his legacy. congressmuktbharat,0,We know उसी power hungry We हैवन forgotten what this vile woman did to PVNarasimhaRao and his legacy congressmuktbharat
hasoc_en_92,Destroy our country?  More like defending our country against a treasonous traitor in the white house!    TrumpIsATraitor   TrumpTaxes  TrumpsAnInternationalDisgrace   TrumpMustResign,1,Destroy our country More like defending our country against a treasonous traitor in the white house TrumpIsATraitor TrumpTaxes TrumpsAnInternationalDisgrace TrumpMustResign
hasoc_en_455,"He’s also lied, cheated, committed crimes against America, broken emoluments laws, nepotism, spread his corruption, conspired with Russia, and banked millions of our tax dollars while you dumbf**ks cheer    -You have become his accomplices   TrumpIsAFraud TrumpIsATraitor",1,Hes also lied cheated committed crimes against America broken emoluments laws nepotism spread his corruption conspired with Russia and banked millions of our tax dollars while you डम्ब cheer You have become his accomplices TrumpIsAFraud TrumpIsATraitor
hasoc_en_3406,"BorisJohnsonShouldNotBePM?    No, BorisJohnsonShouldBeArrested AlongWithTheRestOfThem.    They are quite literally, and quite openly, plotting to cause severe damage to the UK. If a foreign power were doing what they were doing we would call it an act of war.",0,BorisJohnsonShouldNotBePM No BorisJohnsonShouldBeArrested AlongWithTheRestOfThem They are quite literally and quite openly plotting to cause severe damage to the UK If a foreign power were doing what they were doing we would call it an act of war
hasoc_en_1002,BBC News - Waltham Forest Pride: Police probe 'homophobic abuse' video  … She is a disgrace to Islam,0,BBC News मातम Forest Pride Police probe homophobic abuse video She is a disgrace to Islam
hasoc_en_1830,This is a seriously gross image especially on JohnMcCainDay. JohnMcCainisaHero TrumpIsACoward TrumpIsATraitor JohnMcCainDayJune14th,0,This is a seriously gross image especially on JohnMcCainDay JohnMcCainisaHero TrumpIsACoward TrumpIsATraitor JohnMcCainDayJune14th
hasoc_en_5170,Petition the moron with a swastika in his El Sobrante front yard to knock it off Resist ResistTrump FuckTrump,0,Petition the moron with a swastika in his El बंटे front yard to knock it off Resist सिस्टूम FuckTrump
hasoc_en_3549,One of a rare time to be agreed with you!   DhoniKeepsTheGlove,0,One of a rare time to be agreed with you DhoniKeepsTheGlove
hasoc_en_4898,"Icc have a objection on gloves but not this Pakistani show if you agree,  Retweet this as much as you can PAKvSL     doublestanders  DhoniKeepsTheGlove",1,Icc have a objection on gloves but not this Pakistani show if you agree Retweet this as much as you can PAKvSL doublestanders DhoniKeepsTheGlove
hasoc_en_4405,"Give them some of your vast amounts of money. If you can spend it covering up child rape, why not spend it on the starving? dickhead",0,Give them some of your vast amounts of money If you can spend it covering up child rape why not spend it on the starving dickhead
hasoc_en_5813,djtj geniusjunior dumbass How about WE take care of the CHILDREN we already have?!?  BTW.......how many children has the  TrumpCrimeFamily   Fostered???????TrumpIsATraitor,0,djtj geniusjunior ड्यूमास How about WE take care of the CHILDREN we already have BTWhow many children has the TrumpCrimeFamily FosteredTrumpIsATraitor
hasoc_en_5602,He has destroyed this country. We need him out. Dragged by his ugly orange roots and pissed on. ImpeachTrump FuckTrump,1,He has destroyed this country We need him out Dragged by his ugly orange roots and pissed on ImpeachTrump FuckTrump
hasoc_en_874,I demand justice for twinkle sharma  Shame on this constitution😶  rapist ko phasi do,0,I demand justice for twinkle सरमा Shame on this constitution rapist को फांसी do
hasoc_en_528,Both BCCI n ICC are stupid.... Ravi Shastri ka karo BC Saala Har cheez mein fail hoga...,1,Both BCCI n ICC are stupid एवीआई शास्त्री का करो BC आला अर चीज मेन fail होग
hasoc_en_5177,"Rangzen people, we have to do whatever is possible to stop this fake activist from sabotaging our FreeTibet movement.     Tibetans humanrights BoycottChina Dharamsala March10 Tibetan DalaiLama Rangzen",0,नंगें people we have to do whatever is possible to stop this fake activist from sabotaging our FreeTibet movement Tibetans ह्रूमनिस्टों BoycottChina धर्मशाला आर्च Tibetan सलाम नंगें
hasoc_en_1301,now every time i log in to twitter..there is some shaming going on.    ShameOnKaranJohar  ShameOnRohitShetty    And now-  ShameOnICC,0,now every time i log in to ट्वीट्स is some shaming going on ShameOnKaranJohar ShameOnRohitShetty And now ShameOnICC
hasoc_en_517,Kolkata Muslims write to Mamata Banerjee: Don’t let culprits who attacked doctors and Ushoshie get away just because they are Muslims,0,कोलाकाता Muslims write to ममता बैनर्जी होंट let culprits who attacked doctors and सोचिए get away just because they are Muslims
hasoc_en1_991,"Happy Birthday to Sh  Ji, God bless you good health and long life sir.",0,Happy Birthday to Sh Ji God bless you good health and long life sir
hasoc_en_3960,This bozo is happy for the country to have a PM deciding how much scrutiny he gets. The less the better it appears. 🙄FFS. BorisJohnsonShouldNotBePM,1,This bozo is happy for the country to have a PM deciding how much scrutiny he gets The less the better it appears FFS BorisJohnsonShouldNotBePM
hasoc_en_2953,"Everyone waited for 4 years to see the England Rains , what a proud moment 👏👏👏  ShameOnICC   INDvNZ NZvIND CWC19  INDvPAK PAKvIND INDvNZ NZvIND CWC19    TeamIndia     CWC2010 Dhoni dhonikeepstheglove",0,Everyone waited for 4 years to see the England Rains what a proud moment ShameOnICC INDvNZ NZvIND CWC19 INDvPAK PAKvIND INDvNZ NZvIND CWC19 TeamIndia CWC2010 होनी dhonikeepstheglove
hasoc_en_2654,"But, Good News..   If you are a MURDERER your money is still good here.. 🤙🏻👍🏻  EdBuck",0,But Good News If you are a MURDERER your money is still good here डुबकी
hasoc_en_2249,another GOOD reason 2 NOT reveal identity of rape accused man!! not only because he might be INNOCENT .. but because people MISTAKE him 4 someone else with same name. PREPOSTEROUS!! karan WAHI rapist now?,0,another GOOD reason 2 NOT reveal identity of rape accused man not only because he might be INNOCENT but because people MISTAKE him 4 someone else with same name PREPOSTEROUS कर्ण WAHI rapist now
hasoc_en1_1880,Thankful to Prime Minister Shri  ji for reposing faith in me. Your leadership and continued support is a great source of inspiration. I assure you that I will put my best efforts to serve our people and country.,0,Thankful to Prime Minister होरी जी for reposing faith in me Your leadership and continued support is a great source of inspiration I assure you that I will put my best efforts to serve our people and country
hasoc_en_214,"told you Islam is not fair. No point discussing it any further.   Islam is a disgrace, it treats women as unequals in society. Why would any western country politician want to import more of this cult? Sheer madness.",1,told you Islam is not fair No point discussing it any further Islam is a disgrace it treats women as कयास in society Why would any western country politician want to import more of this cult Sheer madness
hasoc_en_2574,"As an owner of a small family farm, let me be the first to say FuckTrump.",0,As an owner of a small family farm let me be the first to say FuckTrump
hasoc_en_4214,Remember when we had a REAL President in the White House? Ah those were the days. maga FOXNews   FuckTrump  via,1,Remember when we had a REAL President in the White House Ah those were the days मगर FOXNews FuckTrump via
hasoc_en_1927,"Well technically yes,  but I think that's a lot of effort. I have people and pages I follow, that I built over time. I'll accept the time out, it was worth it. fucktrump byefelicia",0,Well technically yes but I think दैट a lot of effort I have people and pages I follow that I built over time Ill accept the time out it was worth it ट्रम्प byefelicia
hasoc_en_3248,He probably.. or should've got mashed on.  forsure dickhead,1,He probably or शोले got mashed on फोरस्क्वेर dickhead
hasoc_en_2820,"fuck both of you. If I say he’s in a fucking medical, he’s in a fucking medical. I work hard for this shit, don’t come at me with that criticism shit, you want beef we can sort this out properly still dickhead",1,fuck both of you If I say hes in a fucking medical hes in a fucking medical I work hard for this shit डोंट come at me with that criticism shit you want beef we can sort this out properly still dickhead
hasoc_en_536,"When are these douche bags going to realize that most of the economic gains are just continuing trends from Obama's administration?  Also, these don't negate him being a racist asshole.  It's like the battered wife making excuses for staying in the relationship.  FuckTrump",1,When are these douche bags going to realize that most of the economic gains are just continuing trends from बस administration Also these डोंट negate him being a racist asshole Its like the battered wife making excuses for staying in the relationship FuckTrump
hasoc_en_1432,I am watching rain on Star Sports peacefully  But World Cup Matches interuppt it.  ShameOnICC,0,I am watching rain on Star Sports peacefully But World Cup Matches इंटरप्ट it ShameOnICC
hasoc_en_2767,Where are you? Why isn't this case with CBI yet? We don't want your SIT. We know they will not do the job. Please transfer case to CBI. What are you afraid of?  IMAJewels   IMAJewelsFraud   IMAFraud  IMA  IMAFraudCase,1,Where are you Why इन्ट this case with CBI yet We डोंट want your SIT We know they will not do the job Please transfer case to CBI What are you afraid of IMAJewels IMAJewelsFraud IMAFraud IMA IMAFraudCase
hasoc_en_1229,"ShameOnICC    If all remaining get washed :   NZ - 12  Ind - 11  Eng - 10  Aus - 10  WI - 9  SL - 9  Pak - 9  Bang - 8   SA - 6  Afg - 6    Semi Final  Aus vs NZ  (If rain continues), NZ  Eng vs Ind  (If rain continues), Ind    Final  Ind vs NZ  (If rain continues), NZ - India will win jointly 🤣🤣.",0,ShameOnICC If all remaining get washed NZ 12 Ind 171 Eng 10 उस 10 WI 9 SL 9 एक 9 Bang 8 SA 6 Afg 6 Semi Final उस vs NZ If rain continues NZ Eng vs Ind If rain continues Ind Final Ind vs NZ If rain continues NZ India will win jointly
hasoc_en_4019,"He was an informant for the government and it was started by the Republicans...who gave it to the FBI, unlike you.     TrumpIsATraitor",1,He was an informant for the government and it was started by the रिप्बलिकन gave it to the FBI unlike you TrumpIsATraitor
hasoc_en_5007,"If Boris becomes the new PM, Conservatives have totally lost my vote.  Tax cuts for the higher earners?  How about raising the personal tax allowance at the bottom instead, allowing struggling families to feed their kids.  What an idiot.  BorisJohnsonShouldNotBePM",1,If Boris becomes the new PM Conservatives have totally lost my vote Tax cuts for the higher earners How about raising the personal tax allowance at the bottom instead allowing struggling families to feed their kids What an idiot BorisJohnsonShouldNotBePM
hasoc_en1_1203,Ramalingam murder: Man who headed dawah team arrested in Tamil Nadu,0,रामलिंग murder Man who headed दावा team arrested in Tamil जादू
hasoc_en_4642,Layleen Polanco is the 10th trans woman found dead in U.S. this year Resist ResistTrump FuckTrump,1,आये ब्लैंको is the 12वीं trans woman found dead in US this year Resist सिस्टूम FuckTrump
hasoc_en_6,Real Scenario: Muslims fakes Jai Shree Ram controversy  AP Sen: But it was their Right to shout. InTolerance is increased . modi must resign  Real Scenario : Muslim Mob Attackes Doctor. TMC goons attack Professor asking them to shout Mamata Beham Zindabad   AP Sen : Consumed Fevicol,0,Real Scenario Muslims fakes आई हरी Ram controversy AP Sen But it was their Right to shout InTolerance is increased मोदी must resign Real Scenario Muslim Mob अटैक Doctor TMC goons attack Professor asking them to shout ममता रहम जिंदाबाद AP Sen Consumed फेवीकोल
hasoc_en1_537,lazydocker :  A simple terminal UI for both docker and docker-compose :  …,0,लाकर A simple terminal UI for both docker and dockercompose
hasoc_en_4875,The massive crowd of doctors protesting against CM  in Kolkata   The Suppression and atrocities of   govt has reached its peak and people of West Bengal will no more tolerate it      SaveBengal  FridayMotivation  DoctorsFightBack,1,The massive crowd of doctors protesting against CM in कोलाकाता The Suppression and atrocities of govt has reached its peak and people of West Bengal will no more tolerate it रवीना FridayMotivation DoctorsFightBack
hasoc_en_3816,Dear  too much hypocrisy  Humble request to fellow Indian  Supporters who is going to watch upcoming matches in stadium take BalidaanBadge insignia with you especially IndvPak match held on16th June. DhoniKeepsTheGlove CWC19 bycotticc,0,Dear too much hypocrisy Humble request to fellow Indian Supporters who is going to watch upcoming matches in stadium take BalidaanBadge insignia with you especially IndvPak match held होंठ June DhoniKeepsTheGlove CWC19 बायाकाट
