text,label,moh_text
Text,Classification,Text
"Knowing ki Vikas kitna samjhata hai Priyanka aur Itch Guard Luv ko, usne bola tha Ben wali baat me ab Sallu ne bhi agree kiya!",no,Knowing की विकास कितना समझाता : हैं: प्रियंका और Itch Guard Luv को उसने bola था Ben वली बात me ab अल्लू ने भी agree किया
I am Muhajir .. Aur mere lye sab se Pehly Pakistan he .. agr 10 lakh Altaf Jese leaders bh is zameen ki behurmati kren un sbko sar e aam phansi Deni chahye .. Proud to be a #Muhajir and #Pakistani,no,I am मुहाजिरों उर mere lye सभा से Pehly Pakistan he एगार 10 लाख्र अल्ताफ़ इससे leaders भी is ज़मीन की बहती करेन उन सबको सार e आम फांसी देनी चाहिए Proud to be a मुहाजिरों and Pakistani
"Doctor  sab sahi me ke PhD (in hate politics) wale. Bhai padhe likhe ho fir kyu ye sab baate karte ho. Tum bas bowling  khelo, aur maje lo. pic.twitter.com/fk1qUbQstw",no,Doctor सभा शाही me के PhD in hate politics wale : हैं: पढ़े लिखे ho fir किन ye सभा बातें करते ho Tum बास bowling खेलो और मजे lo pictwittercomfk1qUbQstw
"Poore Desh me Patel OBC me aate Hain sirf gujrat Ko chor kar may be, ye manuwadiyon bramanwadi kabhi aapko aarackchan nahi denge ye to jis OBC Ko Mila hai usse bhi nafrat karte hain ye khoon aur chamdi ka frak karne waale bharmhanwadi kisi ke sage nahi hain",no,पूरे देश me Patel OBC me आते आईन सिर्फ़ गुजरात Ko चोर कर may be ye अँतड़ियों बावादी कभी आपको आरक्षण नहीं देंगे ye to जिस OBC Ko ईला : हैं: उससे भी नफ़रत करते हैं ye खून और छड़ी का फरक कर्णे वाले हरिमन्दिर किसी के sage नहीं हैं
"Sarkar banne ke bad Hindu hit me ek bhi faisla Jo bjp ke dwara liya gaya ho,bjp ko  gay,gobar,mandir,masjid aur nafrat faila kar vot chahiye",yes,सरकार बन्ने के bad Hindu hit me एक भी फैसला Jo भाजपाई के द्वारा लिया गया भाजपाई को gaygobarmandirmasjid और नफ़रत फैला कर वोटों चाहिए
Hate it jab test ata ho phr bh acha na ho -.-,yes,Hate it jab test एटीए ho फिर भी मचा ना ho
Ek dil ek jaan akal ke imitihaan kal KP ke rape aur sawing between two legs after rape honge justified due to cinematic liberty aaj toh Rajput ki ho gayi shaan urdu ki gulaam,no,Ek दिल एक जान अकाली के इम्तिहान काल KP के rape और sawing between two legs after rape होंगे justified due to cinematic liberty आज तो राजपूतों की ho : गई: शान उर्दू की ग़ुलाम
Aise logo se sakht nafrat karta hu Jo caste ko naam ke sath jod ke chaude hote h but real me vo piddu hote h,yes,इसे logo से सख्त नफ़रत कर्ता हूँ Jo caste को नाम के साथ जोड़ के चड़े होते h but real me वो जिद्दू होते h
"Sir, jyada sentimental mat ho jao peene ke baad.Jiss desh ki buniyad sirf Hindu hatred pe hui ho woh kabhi nahi sudrega. Aap POK de do yaa phir Kabootar udao, jawab sirf goliyon se milega....",yes,Sir ज्यादा sentimental mat ho जाओ पीने के बासादी देश की बुनियाद सिर्फ़ Hindu hatred पे हुई ho वो कभी नहीं उड़ेगा आप POK दे do या फिर बूटा उड़ाओ जवाब सिर्फ़ गोलियों से मिलेगा
